product_name,region,total_orders,late_orders,late_delivery_rate
Contoso Notebook Peripheral Kit M69 Grey,Online,2,2,100.000000000000
Fabrikam Laptop12 M2000 White,Online,4,4,100.000000000000
Fabrikam Microwave 2.2CuFt M1250 Silver,Online,4,4,100.000000000000
Litware Home Theater System 2.1 Channel E210 Brown,Online,1,1,100.000000000000
Fabrikam Microwave 1.5CuFt X1100 Blue,Online,2,2,100.000000000000
"A. Datum SLR Camera 35"" M358 Silver",Online,4,4,100.000000000000
Fabrikam Microwave 1.6CuFt M1250 Black,Online,2,2,100.000000000000
"Fabrikam SLR Camera 35"" M358 Silver",Online,2,2,100.000000000000
Contoso Bluetooth Notebook Mouse X305 White,Online,2,2,100.000000000000
Fabrikam Refrigerator 3.2CuFt E1600 Blue,Online,3,3,100.000000000000
Contoso Coffee Maker Auto 10C M1000 Silver,Online,1,1,100.000000000000
Litware Home Theater System 4.1 Channel M413 Black,Online,2,2,100.000000000000
Contoso Home Theater System 2.1 Channel M1230 White,Online,2,2,100.000000000000
A. Datum Super-zoom Digital Camera X300 Silver,Online,1,1,100.000000000000
Contoso Home Theater System 2.1 Channel E1200 White,Online,1,1,100.000000000000
"Fabrikam SLR Camera 35"" X358 Grey",Online,2,2,100.000000000000
Contoso Optical USB Mouse M45 Grey,Online,3,3,100.000000000000
"Fabrikam SLR Camera 35"" X358 Silver",Online,2,2,100.000000000000
Fabrikam Refrigerator 3.2CuFt E1600 Grey,Online,2,2,100.000000000000
Litware Microwave 0.8CuFt E080 Black,Online,2,2,100.000000000000
Fabrikam Refrigerator 4.6CuFt E2800 Orange,Online,3,3,100.000000000000
Adventure Works Laptop16 M1601 Silver,Online,1,1,100.000000000000
Fabrikam Refrigerator 1.7CuFt E1200 Blue,Online,2,2,100.000000000000
"Fabrikam Social Videographer 1/2"" 3mm E300 Blue",Online,1,1,100.000000000000
Contoso Conversion Lens M550 Silver,Online,2,2,100.000000000000
Fabrikam SLR Camera M149 Blue,Online,2,2,100.000000000000
Contoso Coffee Maker Auto 10C M1000 White,Online,2,2,100.000000000000
Litware Microwave 1.0CuFt E110 Red,Online,3,3,100.000000000000
Contoso Microwave 1.0CuFt E0110 White,Online,1,1,100.000000000000
Adventure Works LCD20 M210 Black,Online,3,3,100.000000000000
Contoso Home Theater System 4.1 Channel M1400 Black,Online,1,1,100.000000000000
"Fabrikam Trendsetter 1"" 25mm X400 Blue",Online,1,1,100.000000000000
Contoso Power Inverter - DC to AC power inverter E900 Black,Online,1,1,100.000000000000
Litware 80mm Dual Ball Bearing Case Fan E1001 Black,Online,1,1,100.000000000000
"Fabrikam SLR Camera 35"" M358 Gold",Online,1,1,100.000000000000
Litware Refrigerator L1200 Orange,Online,1,1,100.000000000000
Litware 18'' Adjustable Oscillating Pedestal Fan E301 White,Online,1,1,100.000000000000
Contoso 2G MP3 Player E200 Blue,Online,7,7,100.000000000000
Fabrikam Refrigerator 1.7CuFt E1200 Grey,Online,2,2,100.000000000000
Litware 120mm Blue LED Case Fan E901 White,Online,4,4,100.000000000000
Contoso Expandable 3-Handset Cordless Phone System M204 Grey,Online,1,1,100.000000000000
Litware Home Theater System 5.1 Channel M513 Silver,Online,1,1,100.000000000000
Contoso Cyber Shot Digital Cameras Adapter E306 Pink,Online,1,1,100.000000000000
Litware Tower Fan E501 Silver,Online,2,2,100.000000000000
Contoso Microwave 1.5CuFt X0110 White,Online,1,1,100.000000000000
Contoso 4G MP3 Player E400 Black,Online,3,3,100.000000000000
Contoso Hybrid system M60 Grey,Online,3,3,100.000000000000
Litware 18'' Oscillating Pedestal Fan M145 White,Online,2,2,100.000000000000
Contoso SLR Camera M143 Grey,Online,3,3,100.000000000000
Litware Home Theater System 5.1 Channel M516 Black,Online,2,2,100.000000000000
"Fabrikam SLR Camera 35"" M358 Orange",Online,1,1,100.000000000000
Contoso Coffee Maker Auto 5C E0900 White,Online,2,2,100.000000000000
Litware Home Theater System 4.1 Channel M412 Brown,Online,1,1,100.000000000000
Contoso 4-Line Expandable Cordless Phone System M900 White,Online,1,1,100.000000000000
Fabrikam Refrigerator 19CuFt M7600 Brown,Online,1,1,100.000000000000
Litware Home Theater System 2.1 Channel E212 Silver,Online,2,2,100.000000000000
Contoso Phone System Accessory Handset with Charger M308 Grey,Online,3,3,100.000000000000
Litware Microwave 0.9CuFt E090 Grey,Online,2,2,100.000000000000
Contoso Digital Camera Accessory kit M200 Blue,Online,1,1,100.000000000000
Contoso Home Theater System 2.1 Channel M1210 Black,Online,1,1,100.000000000000
Contoso Multi-Use Terminal Cable E308 Silver,Online,2,2,100.000000000000
Contoso Bright Light battery E20 blue,Online,1,1,100.000000000000
Contoso Projector 1080p X981 White,Online,3,3,100.000000000000
Litware Home Theater System 5.1 Channel M515 Brown,Online,2,2,100.000000000000
Contoso USB Wave Multi-media Keyboard E280 White,Online,1,1,100.000000000000
Litware Refrigerator 24.7CuFt X980 Blue,Online,1,1,100.000000000000
Fabrikam Trendsetter 1/2'' 3mm X300 Grey,Online,1,1,100.000000000000
Contoso Home Theater System 2.1 Channel M1210 White,Online,1,1,100.000000000000
Litware Mobile Fan External USB Cooling Fan E601 Pink,Online,1,1,100.000000000000
Contoso Car power adapter M90 Grey,Online,3,3,100.000000000000
"Fabrikam SLR Camera 35"" X358 Black",Online,2,2,100.000000000000
Litware Refrigerator 4.6CuFt E280 Blue,Online,2,2,100.000000000000
Contoso Phone with 13-Number Memory (210) M301 White,Online,3,3,100.000000000000
Litware Refrigerator 4.6CuFt E280 Silver,Online,1,1,100.000000000000
Contoso Education Supplies Bundle E200 Grey,Online,1,1,100.000000000000
Contoso Laptop Keyboard X105 Silver,Online,2,2,100.000000000000
Contoso Notebook Peripheral Kit M69 White,Online,2,2,100.000000000000
Contoso Coffee Maker 4C E0800 White,Online,2,2,100.000000000000
Contoso Rechargeable Battery Pack E310 White,Online,4,4,100.000000000000
Litware Refrigerator 4.6CuFt E280 Green,Online,1,1,100.000000000000
Contoso USB Wave Multi-Media Keyboard M901 Gold,Online,1,1,100.000000000000
MGS Age of Empires III: The War Chiefs M240,Online,5,5,100.000000000000
"Litware 14"" High Velocity Floor Fan E801 Silver",Online,3,3,100.000000000000
Contoso Multi-line phones M30 Grey,Online,3,3,100.000000000000
Litware USB Durable Desk Soft Fan E1401 White,Online,1,1,100.000000000000
Contoso Coffee Maker Auto 5C E0900 Silver,Online,1,1,100.000000000000
"Fabrikam SLR Camera 35"" X358 Blue",Online,1,1,100.000000000000
Litware USB Foam Fan E1301 Black,Online,1,1,100.000000000000
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White,Online,3,3,100.000000000000
A. Datum Consumer Digital Camera E100 Grey,Online,2,2,100.000000000000
Contoso Home Theater System 2.1 Channel M1210 Brown,Online,1,1,100.000000000000
Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey,Online,2,2,100.000000000000
Contoso SLR Camera M146 Orange,Online,2,2,100.000000000000
Contoso Digital Camera/Camcorder USB Cable E324 Purple,Online,5,5,100.000000000000
Contoso Telephoto Conversion Lens X400 Silver,Online,2,2,100.000000000000
Litware Wall Lamp E3015 Blue,Online,1,1,100.000000000000
Contoso Washer & Dryer 25.5in M255 Pink,Online,2,2,100.000000000000
A. Datum Full Frame Digital Camera X300 Green,Online,1,1,100.000000000000
Litware 18'' Oscillating Pedestal Fan M135 White,Online,1,1,100.000000000000
Proseware Duplex Scanner M200 Grey,Online,4,4,100.000000000000
Litware USB Foam Fan E1301 Red,Online,1,1,100.000000000000
NT Washer & Dryer 15.5in E1550 Green,Online,2,2,100.000000000000
Fabrikam SLR Camera M148 Gold,Online,3,3,100.000000000000
MGS Zoo Tycoon 2: Zookeeper Collection 2008 E134,Online,2,2,100.000000000000
Contoso Reserve Pen - Tablet Pen E200 Grey,Online,1,1,100.000000000000
"A. Datum SLR Camera 35"" X358 Grey",Online,3,3,100.000000000000
Contoso Home/Office Laptop Power Adapter E300 Black,Online,2,2,100.000000000000
Proseware Laptop19 X910 Black,Online,4,4,100.000000000000
Contoso USB Wave Multi-Media Keyboard E280 Grey,Online,1,1,100.000000000000
NT Washer & Dryer 15.5in E1550 Silver,Online,2,2,100.000000000000
Contoso Wireless Notebook Optical Mouse M35 Blue,Online,1,1,100.000000000000
NT Washer & Dryer 24in M2400 Green,Online,1,1,100.000000000000
Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 White,Online,2,2,100.000000000000
A. Datum SLR-like Digital Camera M400 Grey,Online,2,2,100.000000000000
Litware 180 CFM Vertical Discharge Fan X450 Blue,Online,1,1,100.000000000000
SV 22xDVD X680 Black,Online,4,4,100.000000000000
MGS Bicycle Board Games X500,Online,4,4,100.000000000000
Proseware Ink Jet Fax Machine E100 Grey,Online,1,1,100.000000000000
Litware 20'' Weather-Shield Performance Box Fan E1601 Black,Online,1,1,100.000000000000
NT Washer & Dryer 27in L2700 Silver,Online,2,2,100.000000000000
Contoso Screen 113in M251 Black,Online,4,4,100.000000000000
MGS Flight Simulator 2004: A Century of Flight E111,Online,1,1,100.000000000000
Contoso KSU-less key system M38 White,Online,4,4,100.000000000000
SV Car Video AM/FM E1000 Brown,Online,4,4,100.000000000000
Contoso Washer & Dryer 24in M240 Red,Online,1,1,100.000000000000
Proseware Ink Jet Wireless All-In-One Printer M400 Black,Online,4,4,100.000000000000
Fabrikam Business Videographer 1'' 25mm M600 Grey,Online,1,1,100.000000000000
Proseware Air conditioner 8000BTU M320 White,Online,2,2,100.000000000000
Fabrikam Independent filmmaker 2/3'' 17mm X100 White,Online,1,1,100.000000000000
MGS Flight Simulator X 2008 E133,Online,3,3,100.000000000000
Litware 92mm DBB Case Fan E1101 Silver,Online,1,1,100.000000000000
SV USB Data Cable E600 Pink,Online,1,1,100.000000000000
MGS Zoo Tycoon 2: Extinct Animals M210,Online,1,1,100.000000000000
Proseware Laser Jet All in one X300 Black,Online,5,5,100.000000000000
Litware 92mm DBB Case Fan E1101 White,Online,1,1,100.000000000000
"Proseware Color Ink Jet Fax, Copier, Phone M250 Grey",Online,1,1,100.000000000000
Contoso SLR Camera M142 Black,Online,2,2,100.000000000000
MGS MechWarrior 4 Mach Paks2009 E161,Online,2,2,100.000000000000
Contoso Microwave 0.8CuFt E0080 Silver,Online,1,1,100.000000000000
WWI Projector 1080p DLP86 Silver,Online,1,1,100.000000000000
Contoso Wireless Laser Mouse M55 White,Online,3,3,100.000000000000
Proseware Laser Jet All in one X300 White,Online,2,2,100.000000000000
Fabrikam Coffee Maker 12C M100 Black,Online,1,1,100.000000000000
Proseware CRT17 E104 White,Online,1,1,100.000000000000
Fabrikam Laptop15 M5000 White,Online,3,3,100.000000000000
Proseware Projector 720p DLP56 Silver,Online,3,3,100.000000000000
Litware Desktop Wind Tower Oscillating Fan E1201 White,Online,1,1,100.000000000000
WWI Stereo Bluetooth Headphones New Generation M370 Blue,Online,10,10,100.000000000000
MGS Zoo Tycoon Marine Mania 2009 E160,Online,2,2,100.000000000000
Proseware Office Jet All-in-One Printer M500 Grey,Online,1,1,100.000000000000
Litware Floor Lamp X1015 Grey,Online,1,1,100.000000000000
SV Car Video TFT7 M7002 Brown,Online,1,1,100.000000000000
Contoso Smart Battery M901 White,Online,1,1,100.000000000000
SV 4GB Laptop Memory M65 Blue,Online,1,1,100.000000000000
Contoso Microwave 1.5CuFt X0110 Red,Online,2,2,100.000000000000
The Phone Company PDA Handheld 4.7 inch L650 Black,Online,6,6,100.000000000000
Fabrikam Coffee Maker 4C E080 Grey,Online,2,2,100.000000000000
Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White,Online,2,2,100.000000000000
Fabrikam Coffee Maker 12C M100 Grey,Online,1,1,100.000000000000
The Phone Company Smart phones 4 GB of Memory M300 Grey,Online,3,3,100.000000000000
Fabrikam Refrigerator 24.7CuFt X9800 Grey,Online,3,3,100.000000000000
SV Car Video AM/FM E1001 Black,Online,1,1,100.000000000000
Litware Home Theater System 2.1 Channel E210 Black,Online,1,1,100.000000000000
WWI Chandelier M615 Grey,Online,1,1,100.000000000000
Proseware Air conditioner 8000BTU M320 Grey,Online,2,2,100.000000000000
Proseware Photo Ink Jet Printer E290 Grey,Online,3,3,100.000000000000
Litware Home Theater System 2.1 Channel E211 Silver,Online,2,2,100.000000000000
SV Car Video LCD7W M7080 Silver,Online,1,1,100.000000000000
Contoso Wireless Laser Mouse M55 Black,Online,1,1,100.000000000000
Proseware Projector 1080p DLP86 White,Online,2,2,100.000000000000
Contoso Private Automatic Branch Exchange M65 Grey,Online,2,2,100.000000000000
SV Car Video LCD9.2W X9281 Black,Online,2,2,100.000000000000
"Fabrikam Home and Vacation Moviemaker 2/3"" 17mm M103 Blue",Online,1,1,100.000000000000
Proseware Projector 480p LCD12 Silver,Online,3,3,100.000000000000
Fabrikam Microwave 1.0CuFt E1100 Silver,Online,1,1,100.000000000000
SV Keyboard E10 Black,Online,1,1,100.000000000000
"Fabrikam SLR Camera 35"" M358 Pink",Online,2,2,100.000000000000
SV Car Video AM/FM E1000 Silver,Online,2,2,100.000000000000
Litware Home Theater System 2.1 Channel E210 Silver,Online,1,1,100.000000000000
The Phone Company PDA Handheld 4.7 inch L650 White,Online,4,4,100.000000000000
Proseware All-In-One Photo Printer M200 Grey,Online,1,1,100.000000000000
SV Car Video AM/FM E1001 Brown,Online,1,1,100.000000000000
Litware Home Theater System 5.1 Channel M512 Black,Online,2,2,100.000000000000
WWI Chandelier M615 Blue,Online,1,1,100.000000000000
Contoso Wireless Notebook Optical Mouse M35 White,Online,1,1,100.000000000000
SV Car Video LCD7W M7082 Silver,Online,1,1,100.000000000000
Contoso Screen 80in E080 Silver,Online,2,2,100.000000000000
SV Car Video TFT7 M7000 Black,Online,1,1,100.000000000000
"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Online,2,2,100.000000000000
SV USB Sync Charge Cable E700 White,Online,1,1,100.000000000000
Fabrikam Refrigerator 1.7CuFt E1200 Silver,Online,2,2,100.000000000000
WWI Chandelier M815 Blue,Online,1,1,100.000000000000
"Fabrikam Social Videographer 2/3"" 17mm E100 Blue",Online,4,4,100.000000000000
WWI Laptop8.9 E0089 Black,Online,5,5,100.000000000000
Litware Home Theater System 4.1 Channel M410 Black,Online,1,1,100.000000000000
WWI LCD17W E200 Black,Online,2,2,100.000000000000
Proseware Floor Lamp M0215 Silver,Online,2,2,100.000000000000
WWI LCD24 X300 White,Online,3,3,100.000000000000
Litware Home Theater System 5.1 Channel M513 Black,Online,1,1,100.000000000000
WWI Projector 480p LCD12 Silver,Online,3,3,100.000000000000
Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Black,Online,3,3,100.000000000000
Contoso Single-line phones E10 Black,Online,2,2,100.000000000000
Fabrikam Refrigerator 19CuFt M7600 Blue,Online,1,1,100.000000000000
Fabrikam Refrigerator 3.2CuFt E1600 White,Online,1,1,100.000000000000
"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",Online,3,3,100.000000000000
Litware Home Theater System 4.1 Channel M410 Silver,Online,1,1,100.000000000000
Proseware Ink Jet Fax Machine E100 Black,Online,3,3,100.000000000000
Litware Home Theater System 5.1 Channel M514 Black,Online,2,2,100.000000000000
