region,product_name,total_quantity,total_revenue,profit_margin,profit_margin_percentage
Alaska,SV 22xDVD X680 Black,12,2028.00,1356.12,66.86
Alaska,"Adventure Works 52"" LCD HDTV X790W Silver",7,11145.40,7452.69,66.86
Alaska,SV DVD 14-Inch Player Portable L100 Silver,4,1039.96,695.40,66.86
Alaska,"Fabrikam SLR Camera 35"" X358 Black",9,3925.80,2625.12,66.86
Alaska,A. Datum SLR Camera X142 Orange,1,427.00,285.53,66.86
Alaska,SV DVD 15-Inch Player Portable L200 Silver,9,2609.91,1745.19,66.86
Alaska,Adventure Works LCD22 M200 White,2,1238.00,827.82,66.86
Alaska,Contoso Screen 106in M060 Black,7,1757.00,1174.88,66.86
Alaska,Contoso DVD 14-Inch Player Portable L100 Black,4,1039.96,695.40,66.86
Alaska,Contoso 32GB Video MP3 Player M3200 Orange,1,255.00,170.51,66.86
Alaska,Proseware LCD24 X300 White,5,4095.00,2738.25,66.86
Alaska,"Fabrikam SLR Camera 35"" X358 Gold",2,872.40,583.36,66.86
Alaska,Contoso DVD 15-Inch Player Portable L200 Silver,27,7829.73,5235.57,66.86
Alaska,SV DVD Recorder L230 Grey,7,1533.00,1025.08,66.86
Alaska,Proseware Screen 125in X1609 Silver,1,459.00,306.92,66.86
Alaska,Contoso Screen 125in M250 Black,3,1377.00,920.76,66.86
Alaska,SV Car Video LCD9.2W X9280 Black,9,8991.00,6012.09,66.86
Alaska,Contoso Bluetooth Active Headphones L15 White,1,129.99,86.92,66.86
Alaska,Adventure Works Desktop PC2.33 XD233 Brown,7,6783.00,4535.65,66.86
Alaska,Contoso Projector 1080p X981 Silver,7,17493.00,11697.21,66.86
Alaska,Contoso Screen 106in M060 White,7,1757.00,1174.88,66.86
Alaska,"A. Datum SLR Camera 35"" X358 Grey",4,2352.00,1572.72,66.86
Alaska,Contoso Macro Zoom Lens X300 Black,6,2199.30,1470.60,66.86
Alaska,Fabrikam Trendsetter 1/2'' 3mm X300 White,5,4995.00,3340.05,66.86
Alaska,Contoso DVD 14-Inch Player Portable L100 Silver,8,2079.92,1390.80,66.86
Alaska,Contoso DVD 15-Inch Player Portable L200 White,3,869.97,581.73,66.86
Alaska,"Fabrikam SLR Camera 35"" X358 Orange",1,436.20,291.68,66.86
Alaska,Contoso Microwave 1.5CuFt X0110 Red,2,1331.88,890.60,66.86
Alaska,Contoso DVD Recorder L220 White,8,1752.00,1171.52,66.86
Alaska,Adventure Works LCD24W X300 Black,1,869.00,581.08,66.86
Alaska,Proseware Slim-Design Fax Machine with Answering System X180 White,1,236.00,157.81,66.86
Alaska,MGS Age of Empires Expansion: The Rise of Rome X900,1,598.80,400.41,66.86
Alaska,SV Hand Games for Office worker L28 Yellow,3,50.97,34.08,66.86
Alaska,Contoso Laptop Keyboard X105 Black,3,692.70,463.20,66.86
Alaska,Contoso In front of Centrex L15 Black,1,46.99,31.42,66.86
Alaska,"A. Datum SLR Camera 35"" X358 Silver Grey",2,1176.00,786.36,66.86
Alaska,Contoso SLR Camera X144 Silver Grey,11,7403.00,4950.22,66.86
Alaska,Contoso 32GB Video MP3 Player M3200 Pink,1,255.00,170.51,66.86
Alaska,Contoso Telephoto Conversion Lens X400 White,1,595.00,397.86,66.86
Alaska,Proseware Air conditioner 25000BTU L167 Silver,6,3815.94,2551.62,66.86
Alaska,Contoso DVD Recorder L200 Black,21,4599.00,3075.24,66.86
Alaska,Contoso Microwave 1.5CuFt X0110 White,1,665.94,445.30,66.86
Alaska,Contoso DVD 15-Inch Player Portable L200 Black,17,4929.83,3296.47,66.86
Alaska,A. Datum Super-zoom Digital Camera X300 Grey,2,580.00,387.84,66.86
Alaska,SV 22xDVD X680 Silver,6,1014.00,678.06,66.86
Alaska,Contoso SLR Camera X145 Pink,2,1264.00,845.22,66.86
Alaska,SV DVD 15-Inch Player Portable L200 Black,4,1159.96,775.64,66.86
Alaska,Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 White,3,684.00,457.38,66.86
Alaska,The Phone Company PDA Handheld 4.7 inch L650 White,8,3112.00,2080.96,66.86
Alaska,Contoso Water Heater 7.2GPM X1800 Red,3,4425.00,2958.90,66.86
Alaska,Contoso Microwave 1.5CuFt X0110 Black,1,665.94,445.30,66.86
Alaska,WWI Desktop PC2.33 X2330 Brown,6,5514.00,3687.12,66.86
Alaska,Fabrikam Independent Filmmaker 1/2'' 3mm X300 Black,5,7800.00,5215.70,66.86
Alaska,Contoso Washer & Dryer 27in L270 Pink,3,7956.00,5320.02,66.86
Alaska,Contoso Water Heater 7.2GPM X1800 Grey,6,8850.00,5917.80,66.86
Alaska,The Phone Company PDA Palm 4.7 inch L850 Black,12,4776.00,3193.56,66.86
Alaska,Contoso Laptop Keyboard X105 White,2,461.80,308.80,66.86
Alaska,The Phone Company PDA Wifi 4.7-inch L290 Black,8,3040.00,2032.80,66.86
Alaska,The Phone Company PDA Phone 4.7 inches L360 White,4,1608.00,1075.24,66.86
Alaska,WWI Desktop PC2.33 X2330 White,16,14704.00,9832.32,66.86
Alaska,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Gold",4,2116.00,1414.92,66.86
Alaska,Contoso Wireless Notebook Optical Mouse X205 Black,1,129.95,86.89,66.86
Alaska,"Adventure Works 52"" LCD HDTV X790W Black",3,4776.60,3194.01,66.86
Alaska,WWI Desktop PC2.33 X2330 Silver,3,2757.00,1843.56,66.86
Alaska,Fabrikam Laptop19 M9000 Black,2,2198.00,1469.76,66.86
Alaska,SV Hand Games for Office worker L28 Red,5,84.95,56.80,66.86
Alaska,Contoso SLR Camera X142 Black,3,1911.00,1277.85,66.86
Alaska,WWI Screen 125in M1611 Silver,1,459.00,306.92,66.86
Alaska,Fabrikam Microwave 1.5CuFt X1100 Silver,2,1331.88,890.60,66.86
Alaska,The Phone Company PDA Wifi 4.7-inch L290 White,3,1140.00,762.30,66.86
Alaska,Contoso Water Heater 7.2GPM X1800 Silver,10,14750.00,9863.00,66.86
Alaska,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,18,4499.82,3008.88,66.86
Alaska,Contoso Water Heater 7.2GPM X1800 White,4,5900.00,3945.20,66.86
Alaska,WWI Screen 113in M1610 Black,1,299.00,199.94,66.86
Alaska,WWI 4GB Video Recording Pen X200 Black,16,4736.00,3166.88,66.86
Alaska,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,7,1749.93,1170.12,66.86
Alaska,WWI 4GB Video Recording Pen X200 Pink,3,888.00,593.79,66.86
Alaska,Adventure Works Desktop PC2.33 XD233 Silver,15,14535.00,9719.25,66.86
Alaska,"Adventure Works 52"" LCD HDTV X590 White",12,34799.88,23270.04,66.86
Alaska,The Phone Company PDA GPS Phone 4.7 inch L950 Black,3,1104.00,738.21,66.86
Alaska,Fabrikam SLR Camera X148 Gold,6,3942.00,2635.92,66.86
Alaska,Proseware Screen 113in X1609 Black,1,299.00,199.94,66.86
Alaska,Fabrikam Laptop19W M9800 Black,3,3597.00,2405.25,66.86
Alaska,WWI Wireless Transmitter and Bluetooth Headphones X250 White,7,1749.93,1170.12,66.86
Alaska,WWI LCD22W M2003 Black,2,1358.00,908.06,66.86
Alaska,Contoso 32GB Video MP3 Player M3200 White,4,1020.00,682.04,66.86
Alaska,Adventure Works CRT19 E10 Black,1,69.00,46.14,66.86
Alaska,The Phone Company PDA Phone Unlocked 4.7 inches L550 Silver,2,604.00,403.88,66.86
Alaska,"Fabrikam Trendsetter 1/2"" 3mm X300 Orange",5,5000.00,3343.40,66.86
Alaska,SV DVD 14-Inch Player Portable L100 White,2,519.98,347.70,66.86
Alaska,Proseware Laser Jet All in one X300 Black,2,438.00,292.88,66.86
Alaska,WWI LCD24 X300 Black,5,4095.00,2738.25,66.86
Alaska,WWI Projector 1080p LCD86 Black,2,4590.00,3069.24,66.86
Alaska,Contoso In front of Centrex L15 White,2,93.98,62.84,66.86
Alaska,Adventure Works Desktop PC2.33 XD233 Black,9,8721.00,5831.55,66.86
Alaska,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,6,1499.94,1002.96,66.86
Alaska,Proseware High-Performance Business-Class Laser Fax X200 White,1,248.00,165.83,66.86
Alaska,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Gold",5,2945.00,1969.25,66.86
Alaska,Proseware Laser Jet Color Printer X300 White,1,209.00,139.75,66.86
Alaska,WWI 4GB Video Recording Pen X200 Red,7,2072.00,1385.51,66.86
Alaska,Proseware Laptop19W X910 White,6,7794.00,5211.72,66.86
Alaska,WWI Laptop19W X0196 White,3,3897.00,2605.86,66.86
Alaska,Contoso DVD Recorder L230 Grey,13,2847.00,1903.72,66.86
Alaska,WWI Laptop19W X0196 Blue,1,1299.00,868.62,66.86
Alaska,Proseware Laser Jet Color Printer X300 Black,9,1881.00,1257.75,66.86
Alaska,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,11,2749.89,1838.76,66.86
Alaska,SV DVD 15-Inch Player Portable L200 White,6,1739.94,1163.46,66.86
Alaska,WWI Desktop PC2.33 X2330 Black,23,21137.00,14133.96,66.86
Alaska,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Grey",1,589.00,393.85,66.86
Alaska,WWI LCD22 M2002 White,6,3714.00,2483.46,66.86
Alaska,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Black",1,589.00,393.85,66.86
Alaska,WWI LCD24 X300 White,4,3276.00,2190.60,66.86
Alaska,WWI LCD24W X300 Black,4,3476.00,2324.32,66.86
Alaska,WWI Screen 125in M1611 White,7,3213.00,2148.44,66.86
Alaska,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Black",13,6877.00,4598.49,66.86
Alaska,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Grey",2,1058.00,707.46,66.86
Alaska,Contoso Integrated Business Phone With card L10 White,1,42.00,28.08,66.85
Alaska,MGS Hand Games for Office worker L299 Black,2,33.78,22.58,66.84
Alaska,MGS Hand Games for Office worker L299 Red,12,202.68,135.48,66.84
Alaska,MGS Hand Games for Office worker L299 Silver,5,84.45,56.45,66.84
Alaska,MGS Hand Games women M400 Silver,12,107.88,58.32,54.06
Alaska,SV Hand Games men M30 Silver,19,130.72,70.68,54.06
Alaska,SV Hand Games men M30 Black,18,123.84,66.96,54.06
Alaska,MGS Hand Games women M400 Red,4,35.96,19.44,54.06
Alaska,MGS Hand Games women M400 Black,1,8.99,4.86,54.06
Alaska,SV Hand Games men M30 Yellow,4,27.52,14.88,54.06
Alaska,MGS Hand Games women M400 Yellow,13,116.87,63.18,54.06
Alaska,SV Hand Games men M30 Red,20,137.60,74.40,54.06
Alaska,SV Hand Games women M40 Yellow,3,26.64,14.40,54.05
Alaska,SV Hand Games women M40 Silver,8,71.04,38.40,54.05
Alaska,SV Hand Games women M40 Red,7,62.16,33.60,54.05
Alaska,SV DVD 48 DVD Storage Binder M50 Black,15,269.85,145.80,54.03
Alaska,SV DVD 48 DVD Storage Binder M50 Red,12,215.88,116.64,54.03
Alaska,Contoso Phone with 13-Number Memory (210) M301 Grey,5,84.95,45.90,54.03
Alaska,Contoso Phone with 13-Number Memory (210) M301 White,1,16.99,9.18,54.03
Alaska,Contoso DVD 48 DVD Storage Binder M50 Silver,7,125.93,68.04,54.03
Alaska,SV DVD 48 DVD Storage Binder M50 Silver,3,53.97,29.16,54.03
Alaska,Contoso DVD 48 DVD Storage Binder M50 Black,1,17.99,9.72,54.03
Alaska,Contoso Phone with 13-Number Memory (210) M301 Black,1,16.99,9.18,54.03
Alaska,Contoso DVD 48 DVD Storage Binder M50 Red,2,35.98,19.44,54.03
Alaska,Contoso Wireless Notebook Optical Mouse M35 Black,3,89.85,48.54,54.02
Alaska,Contoso KSU-less key system M38 Black,1,26.99,14.58,54.02
Alaska,Contoso KSU-less key system M38 Grey,8,215.92,116.64,54.02
Alaska,Contoso Phone System Accessory Handset with Charger M308 Black,7,188.93,102.06,54.02
Alaska,Contoso Multi-line phones M30 White,1,22.99,12.42,54.02
Alaska,SV DVD 55DVD Storage Binder M56 Silver,6,75.96,41.04,54.02
Alaska,Contoso Phone System Accessory Handset with Charger M308 White,5,134.95,72.90,54.02
Alaska,Contoso DVD 55DVD Storage Binder M56 Red,8,101.28,54.72,54.02
Alaska,SV DVD 55DVD Storage Binder M56 Black,5,63.30,34.20,54.02
Alaska,SV DVD 55DVD Storage Binder M56 Red,6,75.96,41.04,54.02
Alaska,Contoso Expandable Cordless Phone System M008 White,1,22.99,12.42,54.02
Alaska,Contoso DVD 55DVD Storage Binder M56 Black,12,151.92,82.08,54.02
Alaska,Proseware Photo smart All-in-One Printer M380 Black,5,735.00,397.00,54.01
Alaska,Proseware Photo Smart All-in-One Printer M380 Grey,2,294.00,158.80,54.01
Alaska,Contoso Expandable 3-Handset Cordless Phone System M204 Grey,1,35.99,19.44,54.01
Alaska,SV DVD 12-Inch Player Portable M400 White,24,4319.76,2333.28,54.01
Alaska,Contoso Water Heater 4.3GPM M1250 Grey,11,9652.50,5213.67,54.01
Alaska,Proseware Photo Inkjet Printer M100 Grey,7,1113.00,601.16,54.01
Alaska,Contoso DVD 9-Inch Player Portable M300 Black,11,1759.89,950.62,54.01
Alaska,Contoso Expandable 2-Handset Cordless Phone System M205 White,2,80.38,43.42,54.01
Alaska,NT Wireless Bluetooth Stereo Headphones M402 Black,1,99.99,54.01,54.01
Alaska,Contoso Touch Screen Phones 5-Wire/Built-in M500 Black,7,1792.00,967.89,54.01
Alaska,Contoso Finger Touch Screen Phones M30 Black,3,597.00,322.47,54.01
Alaska,SV 16xDVD M320 Black,4,476.00,257.12,54.01
Alaska,Contoso Projector 720p M621 White,4,3996.00,2158.40,54.01
Alaska,SV DVD 9-Inch Player Portable M300 Black,9,1439.91,777.78,54.01
Alaska,Contoso Telephoto Conversion Lens M350 Blue,2,190.00,102.62,54.01
Alaska,Contoso Conversion Lens M550 Pink,1,205.00,110.73,54.01
Alaska,Proseware Air conditioner 10000BTU M490 Silver,3,1289.97,696.75,54.01
Alaska,Proseware Screen 100in M1609 Black,5,950.00,513.15,54.01
Alaska,Contoso Optical USB Mouse M45 White,3,152.97,82.62,54.01
Alaska,NT Wireless Bluetooth Stereo Headphones E102 White,9,431.55,233.10,54.01
Alaska,Contoso Telephoto Conversion Lens M350 Black,3,285.00,153.93,54.01
Alaska,Proseware Laser Fax Printer M250 Black,2,236.00,127.48,54.01
Alaska,Fabrikam Coffee Maker Auto 10C M100 Black,1,745.99,402.94,54.01
Alaska,Contoso Projector 720p M621 Silver,6,5994.00,3237.60,54.01
Alaska,Fabrikam SLR Camera M147 Grey,2,668.00,360.82,54.01
Alaska,Contoso Washer & Dryer 25.5in M255 Green,2,3978.00,2148.66,54.01
Alaska,Contoso Multimedia Speakers M25 Brown,5,645.00,348.40,54.01
Alaska,Proseware Projector 720p DLP56 White,2,1998.00,1079.20,54.01
Alaska,Contoso Microwave 1.6CuFt M0125 Red,5,899.95,486.10,54.01
Alaska,SV 16xDVD E340 Silver,3,297.00,160.41,54.01
Alaska,Adventure Works Desktop PC3.0 MS300 Silver,2,938.00,506.64,54.01
Alaska,Contoso 16GB New Generation MP5 Player M1650 White,17,3944.00,2130.27,54.01
Alaska,Fabrikam Coffee Maker Auto 10C M100 Silver,3,2237.97,1208.82,54.01
Alaska,SV 16xDVD M300 Black,9,1071.00,578.52,54.01
Alaska,Fabrikam Business Videographer 1'' 25mm M600 Black,2,1776.00,959.28,54.01
Alaska,Proseware All-In-One Photo Printer M200 Grey,10,1360.00,734.60,54.01
Alaska,Contoso Microwave 2.2CuFt M0125 Red,4,799.96,432.08,54.01
Alaska,Proseware LCD19W M100 Black,2,358.00,193.36,54.01
Alaska,A. Datum Consumer Digital Camera M300 Azure,7,1291.50,697.62,54.01
Alaska,"Contoso SLR Camera 35"" M358 Silver Grey",9,3222.00,1740.33,54.01
Alaska,Contoso Water Heater 4.0GPM M1250 Grey,5,3955.00,2136.25,54.01
Alaska,Contoso Water Heater 4.0GPM M1250 Green,3,2373.00,1281.75,54.01
Alaska,Fabrikam Business Videographer 2/3'' 17mm M280 Grey,2,1700.00,918.24,54.01
Alaska,Proseware Screen 100in M1609 White,3,570.00,307.89,54.01
Alaska,Contoso Enhanced Capacity Battery M800 White,6,167.40,90.42,54.01
Alaska,SV 16xDVD M320 Silver,15,1785.00,964.20,54.01
Alaska,"Adventure Works 20"" LCD HDTV M120 White",2,699.90,378.04,54.01
Alaska,A. Datum Ultra Compact Digital Camera M190 Grey,7,1155.00,623.84,54.01
Alaska,Contoso Water Heater 4.0GPM M1250 Red,3,2373.00,1281.75,54.01
Alaska,NT Bluetooth Active Headphones E202 Red,13,493.35,266.50,54.01
Alaska,"Adventure Works 37"" 1080p LCD HDTV M150W Silver",2,2199.98,1188.28,54.01
Alaska,Litware Chandelier M6015 Blue,2,459.98,248.46,54.01
Alaska,Contoso 16GB Mp5 Player M1600 White,1,199.90,107.97,54.01
Alaska,Proseware LCD20 M200 White,7,1813.00,979.23,54.01
Alaska,Adventure Works Desktop PC2.30 MD230 Black,3,1797.00,970.62,54.01
Alaska,Fabrikam Business Videographer 1/3'' 8.5mm M380 Black,3,2580.00,1393.56,54.01
Alaska,Contoso Water Heater 4.0GPM M1250 White,5,3955.00,2136.25,54.01
Alaska,Contoso Water Heater 4.3GPM M1250 White,5,4387.50,2369.85,54.01
Alaska,Adventure Works Desktop PC2.30 MD230 Brown,13,7798.70,4212.39,54.01
Alaska,Proseware Wireless Photo All-in-One Printer M390 Grey,3,564.00,304.65,54.01
Alaska,Adventure Works Laptop15 M1501 Red,2,1398.00,755.12,54.01
Alaska,NT Bluetooth Active Headphones E202 Silver,5,189.75,102.50,54.01
Alaska,The Phone Company PDA Phone 3.7 inches M340 Black,9,2970.00,1604.16,54.01
Alaska,A. Datum All in One Digital Camera M200 Pink,4,752.00,406.20,54.01
Alaska,Contoso Touch Screen Phones Capacitive M908 Black,7,2156.00,1164.52,54.01
Alaska,Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Grey,7,1372.00,741.09,54.01
Alaska,A. Datum Slim Digital Camera M180 Grey,1,148.00,79.94,54.01
Alaska,Litware Home Theater System 4.1 Channel M412 Black,3,1707.00,922.02,54.01
Alaska,A. Datum SLR-like Digital Camera M400 Pink,5,984.50,531.75,54.01
Alaska,Proseware All-In-One Photo Printer M200 Black,3,408.00,220.38,54.01
Alaska,The Phone Company PDA Phone Unlocked 3.5 inches M530 Silver,1,268.00,144.76,54.01
Alaska,Adventure Works Floor Lamp M2150 White,1,339.00,183.11,54.01
Alaska,Contoso DVD 12-Inch Player Portable M400 White,1,179.99,97.22,54.01
Alaska,Adventure Works Desktop PC3.0 MS300 Black,7,3283.00,1773.24,54.01
Alaska,Contoso Air conditioner 10000BTU M0490 White,8,3439.92,1858.00,54.01
Alaska,Proseware Mobile Receipt and Document Scanner M200 Black,2,232.00,125.32,54.01
Alaska,NT Washer & Dryer 24in M2400 Silver,3,5456.70,2947.35,54.01
Alaska,NT Wireless Bluetooth Stereo Headphones M402 Purple,10,999.90,540.10,54.01
Alaska,SV 16xDVD M310 Silver,6,774.00,418.08,54.01
Alaska,A. Datum Point Shoot Digital Camera M500 Pink,7,1386.00,748.65,54.01
Alaska,Contoso 16GB New Generation MP5 Player M1650 Pink,1,232.00,125.31,54.01
Alaska,MGS Dal of Honor Airborne M150,1,70.13,37.88,54.01
Alaska,Contoso DVD 12-Inch Player Portable M400 Silver,10,1799.90,972.20,54.01
Alaska,Fabrikam Laptop16W M6080 Black,3,2901.00,1566.93,54.01
Alaska,NT Wireless Bluetooth Stereo Headphones E102 Silver,2,95.90,51.80,54.01
Alaska,MGS Zoo Tycoon M380,3,267.00,144.21,54.01
Alaska,SV 16xDVD M360 Silver,4,507.60,274.16,54.01
Alaska,Adventure Works Laptop16 M1601 Red,4,2396.00,1294.16,54.01
Alaska,Contoso 16GB New Generation MP5 Player M1650 Black,2,464.00,250.62,54.01
Alaska,Adventure Works Coffee Maker Auto 10C M100 Silver,1,745.99,402.94,54.01
Alaska,MGS Rise of Nations: Gold Edition M300,6,336.00,181.50,54.01
Alaska,Proseware Office Jet All-in-One Printer M500 Grey,3,489.00,264.12,54.01
Alaska,MGS Halo 2 for Windows Vista M220,4,280.52,151.52,54.01
Alaska,Proseware Ink Jet All in one M300 White,2,338.00,182.56,54.01
Alaska,SV 4GB Laptop Memory M65 Black,1,79.00,42.67,54.01
Alaska,Contoso Home Theater System 5.1 Channel M1510 White,7,3423.00,1848.91,54.01
Alaska,Contoso 4-Line Corded Cordless Telephone M203 Grey,1,32.99,17.82,54.01
Alaska,Fabrikam SLR Camera M150 Orange,2,783.80,423.36,54.01
Alaska,Litware Home Theater System 4.1 Channel M410 Black,3,1797.00,970.62,54.01
Alaska,"Fabrikam Home and Vacation Moviemaker 1"" 25mm M400 Blue",7,4200.00,2268.56,54.01
Alaska,MGS Age of Empires 2008new M420,9,486.00,262.53,54.01
Alaska,Litware Washer & Dryer 25.5in M350 White,1,1989.00,1074.33,54.01
Alaska,Proseware LCD20W M230 White,5,1395.00,753.50,54.01
Alaska,Adventure Works LCD20 M210 White,3,777.00,419.67,54.01
Alaska,Contoso 8GB MP3 Player new model M820 Blue,1,134.00,72.38,54.01
Alaska,A. Datum Bridge Digital Camera M300 Grey,1,186.90,100.95,54.01
Alaska,Litware Home Theater System 4.1 Channel M411 Brown,2,1198.00,647.08,54.01
Alaska,Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Green,3,480.00,259.26,54.01
Alaska,Fabrikam Microwave 1.6CuFt M1250 Blue,2,359.98,194.44,54.01
Alaska,Proseware Laptop16 M610 Black,1,599.00,323.54,54.01
Alaska,Proseware Air conditioner 10000BTU M490 Red,3,1289.97,696.75,54.01
Alaska,Contoso DVD 9-Inch Player Portable M300 Silver,15,2399.85,1296.30,54.01
Alaska,Contoso 8GB MP3 Player new model M820 White,2,268.00,144.76,54.01
Alaska,"Fabrikam Home and Vacation Moviemaker 2/3"" 17mm M103 Blue",1,665.00,359.19,54.01
Alaska,Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Black,1,196.00,105.87,54.01
Alaska,Fabrikam Coffee Maker 12C M100 Silver,1,445.00,240.36,54.01
Alaska,SV DVD 12-Inch Player Portable M400 Black,6,1079.94,583.32,54.01
Alaska,MGS Gears of War M170,14,981.82,530.32,54.01
Alaska,Fabrikam SLR Camera M150 Green,3,1175.70,635.04,54.01
Alaska,Contoso 2-Line Speakerphone M109 Grey,2,71.98,38.88,54.01
Alaska,Contoso Conversion Lens M550 Blue,1,205.00,110.73,54.01
Alaska,A. Datum Ultra Compact Digital Camera M190 Azure,9,1485.00,802.08,54.01
Alaska,Proseware All-In-One Photo Printer M200 White,5,680.00,367.30,54.01
Alaska,Litware Microwave 1.6CuFt M125 Red,7,1259.93,680.54,54.01
Alaska,Proseware Office Jet All-in-One Printer M500 Black,5,815.00,440.20,54.01
