product_1,product_2,times_bought_together,combined_revenue
459,1667,3,1371.50
430,421,3,6309.70
62,451,3,6495.00
2504,1646,3,2919.78
417,440,3,5793.50
1597,1644,3,1389.12
1620,1647,3,2763.82
433,455,3,20968.00
445,418,3,8000.45
431,434,3,12862.00
52,1630,3,982.92
416,454,3,11309.40
1689,1681,3,97.28
1458,416,3,5907.00
1656,86,3,2359.80
1676,1599,3,334.35
453,1633,3,1476.63
1609,445,3,8527.93
449,60,3,2525.00
430,460,3,9777.30
455,433,3,20968.00
458,429,3,9447.50
1662,1652,3,2063.77
58,1733,3,3016.64
1592,2509,3,248.92
1646,1277,3,1057.00
419,1444,3,4744.00
1425,1741,3,3426.00
2090,93,3,11605.60
1675,1671,3,78.17
1688,1649,3,3010.85
1697,451,3,3413.29
1653,1601,3,2599.80
60,445,3,4602.00
1644,1703,3,516.94
429,104,3,10008.60
1657,430,3,2339.73
47,60,3,2597.55
1675,422,3,10721.01
417,1581,3,12109.00
444,1645,3,13271.16
89,425,3,5477.93
55,1594,3,3731.82
104,429,3,10008.60
1444,419,3,4744.00
1445,109,3,2937.90
446,416,3,23648.25
50,424,3,2219.55
1609,115,3,4089.84
430,1605,3,5079.54
1624,1646,3,4564.92
1586,1596,3,291.18
1683,1652,3,964.82
1697,1670,3,80.89
1674,434,3,7814.96
417,106,3,10913.90
2500,1642,3,631.92
436,460,3,6527.30
1783,1638,3,399.56
456,1685,3,4531.29
441,82,3,3204.85
446,417,3,7309.70
442,1660,3,8007.91
442,1656,3,5688.73
1694,1633,3,131.61
1650,69,3,3208.18
1668,423,3,3022.96
1663,436,3,2979.56
459,2090,3,11009.20
2103,439,3,16766.00
1705,436,3,4086.52
1489,1609,3,3159.95
1500,61,3,2222.00
450,2086,3,17799.00
2492,1611,3,2109.75
1675,1706,3,146.83
1687,318,3,12022.40
1684,76,3,388.26
1685,456,3,4531.29
439,2103,3,16766.00
103,1648,3,2374.92
432,97,3,8700.50
432,442,3,8237.80
1649,1688,3,3010.85
1667,1443,3,11317.50
73,1623,3,992.65
460,105,3,3664.20
1589,1664,3,102.89
1573,440,3,3932.13
456,1632,3,5751.91
1692,1601,3,500.94
1646,1671,3,1629.84
49,450,3,6275.35
433,2495,3,15643.86
1677,1617,3,1040.72
432,450,3,11512.80
456,56,3,8188.00
57,438,3,13802.00
79,60,3,1850.05
1687,428,3,8748.52
63,453,3,3913.40
1599,1676,3,334.35
2489,1641,3,211.88
434,1674,3,7814.96
1652,1683,3,964.82
1581,1613,3,3619.87
1585,1682,3,419.35
1637,457,3,4121.01
2102,1613,3,10942.94
439,2086,3,18512.00
47,1661,3,1987.85
60,1630,3,2256.90
1440,79,3,2268.70
88,1494,3,2829.95
1653,451,3,8476.89
452,1676,3,1849.50
1646,2504,3,2919.78
1579,453,3,5135.10
1586,1604,3,2923.19
439,423,3,10462.00
102,455,3,13672.00
88,54,3,4151.96
1636,432,3,3727.18
1788,1586,3,452.92
59,425,3,5235.00
450,1589,3,8420.85
435,423,3,12941.60
1604,1693,3,3202.44
1656,1583,3,1084.95
431,427,3,4459.00
1581,417,3,12109.00
986,1609,3,2976.95
424,1634,3,2239.52
434,438,3,11783.00
107,1598,3,1509.73
1599,1411,3,2034.56
423,48,3,8236.85
449,89,3,7882.87
451,62,3,6495.00
1669,1672,3,229.14
1614,422,3,10280.94
60,449,3,2525.00
1694,443,3,6004.04
1581,457,3,2194.75
421,430,3,6309.70
1645,444,3,13271.16
1643,1673,3,848.82
1646,418,3,5269.24
2087,431,3,9649.00
2515,1674,3,89.42
99,1590,3,1046.01
1572,440,3,1169.75
72,448,3,2494.85
427,431,3,4459.00
1494,88,3,2829.95
445,448,3,6592.80
436,1663,3,2979.56
451,1675,3,2891.46
65,443,3,6877.00
438,57,3,13802.00
1443,1667,3,11317.50
67,445,3,5313.59
1463,1656,3,4342.93
1614,440,3,4139.55
448,1548,3,4017.30
1693,1604,3,3202.44
456,416,3,8907.00
1646,1624,3,4564.92
424,1675,3,4138.82
1589,416,3,7901.85
1611,2492,3,2109.75
1589,1597,3,361.39
444,421,3,20801.00
421,1665,3,1890.97
418,440,3,5288.90
441,1605,3,5428.80
1638,1783,3,399.56
1632,416,3,5903.95
446,1681,3,2990.26
454,1663,3,2241.88
1614,75,3,4723.43
446,1596,3,2326.10
1583,1456,3,3121.12
450,183,3,18006.00
82,441,3,3204.85
419,61,3,5876.00
418,1646,3,5269.24
2086,450,3,17799.00
2491,1631,3,640.05
1589,1652,3,1559.80
1580,1683,3,1179.83
1675,1625,3,2327.80
60,47,3,2597.55
86,1656,3,2359.80
1675,425,3,3362.34
1665,1652,3,1644.86
318,1687,3,12022.40
445,1464,3,5719.00
1628,360,3,3911.12
1727,423,3,4865.00
69,1650,3,3208.18
419,100,3,4152.00
438,1591,3,5653.26
1674,449,3,3538.93
434,1347,3,3121.00
124,1466,3,5729.93
1629,1642,3,417.21
1612,2511,3,1296.47
450,49,3,6275.35
1632,456,3,5751.91
445,67,3,5313.59
1681,1689,3,97.28
1624,434,3,4367.00
51,444,3,10951.10
1642,2500,3,631.92
1634,424,3,2239.52
131,1532,3,4720.00
428,1687,3,8748.52
1675,460,3,4629.41
440,1572,3,1169.75
1609,1489,3,3159.95
1453,1649,3,3363.95
46,442,3,5398.05
1616,450,3,9417.96
1758,1581,3,2594.32
451,1653,3,8476.89
130,416,3,5676.00
444,51,3,10951.10
1576,449,3,3567.94
1581,48,3,4784.50
1606,440,3,3259.47
1579,51,2,2837.40
431,1040,2,5049.00
1698,1600,2,215.58
2494,1641,2,184.26
1808,430,2,3033.45
425,1705,2,3403.56
1660,1464,2,2675.97
55,1729,2,2897.04
1702,108,2,452.87
808,732,2,1344.75
447,438,2,7811.80
1566,1770,2,2530.00
451,468,2,1834.00
1554,93,2,1827.00
65,434,2,3064.00
434,486,2,6727.00
329,47,2,2332.85
1428,1606,2,1927.98
1763,1679,2,426.50
1637,61,2,1953.92
1593,451,2,3996.34
1445,426,2,5447.50
1450,1710,2,2268.78
423,1674,2,7257.90
47,111,2,2749.67
440,1683,2,669.83
143,442,2,4229.04
53,450,2,3022.00
1687,1599,2,365.08
418,2509,2,1361.93
425,50,2,4582.50
51,114,2,1499.73
1603,432,2,3219.38
1416,1628,2,2799.78
1646,1678,2,547.53
118,1641,2,611.25
1686,460,2,2134.25
1571,1662,2,290.87
87,1602,2,1959.86
421,110,2,5690.96
190,1661,2,580.00
1434,2086,2,13283.50
1608,59,2,1109.97
1622,1647,2,3332.90
430,1544,2,2713.85
1119,112,2,5185.95
1601,71,2,1839.65
1652,1675,2,2194.33
1540,81,2,4261.10
428,99,2,6414.00
94,1700,2,844.32
1581,2488,2,2000.98
2491,50,2,3074.19
1657,1700,2,395.50
1491,1593,2,728.67
1613,1635,2,948.59
446,436,2,2057.70
425,65,2,3105.00
1651,1646,2,2399.85
1455,103,2,3355.00
1587,1670,2,170.88
1821,421,2,3539.00
515,1665,2,909.95
97,1625,2,1297.20
1546,395,2,3188.00
899,551,2,11607.00
1608,1479,2,2119.92
1706,1609,2,1075.48
1617,1680,2,338.88
1669,1678,2,160.24
1644,1621,2,509.08
91,430,2,3299.62
456,1626,2,3769.00
1572,106,2,381.96
113,46,2,1549.63
1600,424,2,1793.34
59,1594,2,1151.94
1625,1795,2,743.00
1984,425,2,3782.94
1635,1638,2,224.79
435,1688,2,1411.91
418,72,2,1367.50
1601,435,2,1769.79
1613,1637,2,455.90
48,1479,2,1219.80
451,1668,2,4485.98
434,1635,2,3800.01
420,1630,2,1068.47
1650,442,2,1679.67
1462,1609,2,2363.94
104,438,2,6664.00
60,460,2,3779.00
1603,1808,2,585.97
418,681,2,1684.80
1462,1650,2,4977.93
1614,1663,2,1334.40
1581,1664,2,1805.94
439,1652,2,5551.94
440,438,2,4335.85
1602,1578,2,2729.97
66,1623,2,1661.45
2094,81,2,1354.40
1622,83,2,3584.97
1530,1985,2,3731.97
1607,1681,2,1114.39
1605,1628,2,3024.91
102,439,2,2367.00
69,440,2,2327.95
50,1652,2,3659.68
1614,168,2,2724.92
2036,460,2,2039.58
1984,53,2,5759.86
453,1646,2,2179.35
1576,2516,2,75.00
456,1627,2,5138.94
336,1638,2,5633.67
142,1612,2,3599.86
1667,435,2,2991.45
58,2103,2,5352.00
1626,1642,2,1487.64
1656,91,2,1889.88
1618,1656,2,1035.91
89,80,2,1171.58
2152,446,2,16169.70
1432,1415,2,4200.00
448,1594,2,1729.29
424,1589,2,1959.58
433,1416,2,13341.00
1612,154,2,3679.78
1652,439,2,5551.94
1021,456,2,2520.00
1578,551,2,6123.00
63,1622,2,2905.00
429,721,2,5583.40
1618,1494,2,741.98
49,72,2,1423.15
1521,94,2,1604.00
1690,1616,2,494.85
1573,1642,2,939.40
1706,1493,2,895.80
447,2506,2,497.72
1581,49,2,3684.90
1702,1616,2,443.88
1628,1683,2,139.98
459,1680,2,1917.26
437,1408,2,11376.10
1606,1428,2,1927.98
154,1612,2,3679.78
1652,422,2,6533.96
100,1181,2,11780.00
1592,426,2,2625.43
1615,423,2,6260.97
1648,1693,2,1134.30
1677,425,2,1525.90
1638,1573,2,218.64
1603,589,2,7319.97
440,446,2,1979.55
1571,1828,2,10799.85
1537,1536,2,2296.00
67,452,2,1422.46
47,1644,2,1270.67
109,1510,2,922.95
1813,1699,2,215.04
1680,1813,2,123.96
588,157,2,20493.95
1555,1636,2,3425.94
460,968,2,5767.70
1529,54,2,2887.00
1790,444,2,11501.00
439,416,2,9578.00
1655,1758,2,3682.04
1587,84,2,471.92
1591,445,2,3976.30
1481,454,2,1954.70
437,433,2,6875.40
429,148,2,9999.28
69,1334,2,801.96
1625,97,2,1297.20
1656,423,2,3995.90
1550,418,2,3019.70
2102,528,2,12117.00
69,1603,2,872.69
1957,1468,2,42733.87
444,54,2,11293.00
100,1614,2,1779.95
1714,445,2,5802.43
1670,481,2,443.97
1709,459,2,1440.87
1569,1583,2,2746.56
88,1573,2,1071.88
551,899,2,11607.00
449,1718,2,3910.78
352,1466,2,5460.00
91,77,2,1579.42
438,1576,2,4711.91
1784,1604,2,1557.95
1669,54,2,626.45
1559,411,2,8186.00
431,344,2,2577.00
1612,1696,2,1918.83
111,86,2,4749.72
454,1391,2,889.68
62,1417,2,1528.00
48,317,2,4896.75
1585,1426,2,4237.45
1630,1579,2,1255.23
1652,1459,2,2767.96
1453,79,2,1194.20
1597,64,2,2273.04
422,1597,2,5250.16
111,1415,2,2649.93
1428,1704,2,1127.92
2510,1478,2,2416.24
63,91,2,2254.91
1625,1670,2,737.91
455,1607,2,8630.98
1675,1813,2,144.23
1805,375,2,6643.00
1825,1677,2,145.90
1440,458,2,3080.40
1076,1606,2,6849.97
1577,442,2,2072.80
1669,186,2,214.25
48,59,2,1841.75
445,1641,2,1181.30
434,1666,2,6091.34
2107,855,2,6844.00
1594,1592,2,313.79
108,1702,2,452.87
457,2496,2,1579.61
1597,319,2,6140.08
368,416,2,19443.00
442,1809,2,1953.30
1434,1412,2,5302.00
2097,1493,2,7420.00
89,1622,2,1625.95
1688,1408,2,4858.68
1622,1667,2,1544.00
419,1657,2,1457.96
2098,1605,2,5367.92
446,140,2,6479.46
443,1590,2,3604.45
90,1697,2,348.49
52,1625,2,4303.80
2499,1594,2,161.07
1621,1469,2,690.93
173,439,2,4741.70
1602,432,2,7258.73
1480,1429,2,3344.00
2512,54,2,1407.96
1658,1463,2,4102.92
2499,53,2,2143.16
422,1439,2,5983.00
1654,1590,2,1460.18
1636,1655,2,1513.25
1630,728,2,460.67
1766,1448,2,1106.00
428,1596,2,4984.26
104,1515,2,920.00
1647,457,2,2359.68
443,437,2,7093.00
1628,1479,2,1055.01
1632,425,2,5291.93
418,1698,2,567.86
128,420,2,3573.00
1603,433,2,2597.94
1690,56,2,1632.91
1428,425,2,5061.00
2506,1604,2,1574.16
1420,109,2,2123.96
69,1699,2,171.56
448,968,2,3529.60
1784,1647,2,1114.95
1748,1628,2,463.78
80,433,2,2140.75
424,445,2,7209.70
1666,451,2,2963.90
1678,438,2,7402.67
1462,1614,2,2891.93
1359,1057,2,2437.98
1593,1751,2,656.12
1643,1669,2,300.42
1408,2096,2,10903.50
1601,454,2,1829.47
1631,546,2,960.30
1643,442,2,1908.80
1631,1614,2,1090.60
1662,449,2,1786.94
72,1703,2,288.26
423,1054,2,8299.00
191,1140,2,5135.00
442,143,2,4229.04
108,420,2,4063.32
1697,76,2,319.55
1623,465,2,2350.00
1626,444,2,9323.00
430,1573,2,3382.38
1638,1572,2,273.63
1559,1638,2,2148.56
1284,1593,2,191.61
1669,449,2,3175.45
1428,1589,2,2551.86
60,1665,2,1413.98
557,1447,2,2893.00
401,1797,2,1390.00
522,1800,2,1587.00
1696,460,2,984.65
1643,1628,2,504.71
376,426,2,4797.20
427,439,2,6727.00
708,458,2,1929.50
159,1616,2,4741.90
96,1271,2,304.35
1620,1652,2,2043.86
441,1686,2,2828.70
551,1578,2,6123.00
77,103,2,457.70
1687,1468,2,391.76
63,447,2,1922.40
457,1575,2,1905.59
70,460,2,4630.15
88,1443,2,3983.97
1138,1586,2,5259.28
98,424,2,2909.55
1407,1457,2,1230.00
433,1765,2,8437.80
422,439,2,10286.00
1311,1957,2,41655.87
1766,600,2,30420.00
1593,496,2,1171.23
428,1494,2,6438.00
428,450,2,17761.00
1640,453,2,2344.78
118,1545,2,3019.98
1418,1584,2,2696.94
1604,1469,2,1839.96
46,1631,2,726.40
1769,1586,2,496.62
61,95,2,1650.20
1682,65,2,1157.92
385,423,2,6255.00
1487,119,2,3923.94
716,1642,2,2250.80
2100,1410,2,10785.00
418,448,2,4318.90
72,1667,2,422.10
1679,1715,2,361.65
1674,426,2,2027.56
432,2501,2,3070.56
445,46,2,6230.60
103,1313,2,1740.00
400,1591,2,6872.64
1605,435,2,5599.40
1415,1432,2,4200.00
1634,86,2,1519.83
1582,1524,2,1721.96
459,2494,2,2176.84
425,1651,2,2484.96
505,1583,2,3811.23
1420,1476,2,2346.00
2104,1075,2,1529.00
1608,67,2,542.72
107,1606,2,1865.88
47,65,2,3309.50
420,1693,2,2513.26
517,450,2,7571.00
46,113,2,1549.63
430,88,2,1529.77
443,1619,2,3620.92
398,53,2,4665.70
1668,1619,2,175.90
616,1549,2,6165.00
1595,1646,2,1005.72
1599,1823,2,353.40
1446,1569,2,2960.00
703,65,2,2034.00
692,1619,2,1975.96
1650,1791,2,1374.96
1619,107,2,1230.88
2071,1633,2,1224.90
1576,440,2,2005.53
1656,1005,2,1335.95
2099,2507,2,805.68
1670,1652,2,1295.89
2115,1542,2,3075.00
1611,1645,2,1075.70
1203,1443,2,11379.00
1630,438,2,2848.56
829,421,2,2235.10
450,1609,2,6795.88
2501,1614,2,2742.22
1627,456,2,5138.94
449,416,2,16087.00
2041,101,2,1139.97
1826,2501,2,239.44
419,103,2,5257.00
450,1443,2,10556.00
1594,445,2,1167.95
2517,422,2,2923.75
49,863,2,2101.48
1691,897,2,360.79
1638,49,2,1855.11
1695,1667,2,85.40
1211,2106,2,9570.00
1638,1665,2,261.08
1676,1807,2,587.88
1636,456,2,1714.98
1696,1616,2,255.92
450,448,2,8161.70
1647,444,2,7872.92
530,1648,2,1787.95
1605,428,2,7454.91
447,1648,2,3508.89
1579,1630,2,1255.23
2084,1572,2,780.91
1520,110,2,1784.95
1589,1428,2,2551.86
1470,1614,2,2978.94
1329,1589,2,87.94
445,1694,2,4525.28
426,455,2,5256.50
1586,1410,2,2618.62
1617,1408,2,1347.95
1621,438,2,5734.83
443,453,2,5440.00
1020,113,2,2819.98
1465,66,2,2940.14
106,91,2,1731.88
1635,1426,2,7794.34
1518,418,2,2759.60
1267,84,2,1149.71
1644,67,2,527.11
442,440,2,3528.85
634,82,2,12616.65
1584,443,2,1415.98
430,110,2,1607.79
1639,1547,2,1324.95
1678,1646,2,547.53
1590,1619,2,303.10
422,1469,2,4107.00
1669,1464,2,584.90
2019,353,2,7148.16
2114,1623,2,3297.00
435,460,2,2519.40
2091,442,2,7694.10
41,1653,2,1929.93
1431,1463,2,2782.00
50,1597,2,2062.64
441,1465,2,3095.00
1620,56,2,1793.90
1602,661,2,3083.93
1706,1481,2,2361.04
440,51,2,1919.55
1785,422,2,11175.00
108,1595,2,870.96
86,75,2,351.78
1594,1613,2,469.93
1354,1613,2,1192.84
1671,49,2,1219.66
2067,1602,2,5741.52
52,447,2,3558.60
1636,1761,2,698.49
1658,423,2,3385.91
1644,1432,2,2147.28
436,444,2,9949.00
1985,1798,2,1165.94
437,421,2,10158.00
382,1600,2,1705.44
49,1631,2,815.07
1677,1635,2,129.42
75,1145,2,1925.70
109,1458,2,1798.97
1670,2508,2,45.93
435,452,2,6738.65
95,75,2,670.05
1561,1580,2,2265.00
1428,1506,2,4368.00
24,1634,2,629.67
450,517,2,7571.00
1583,1825,2,253.01
138,444,2,16189.86
1621,1563,2,894.93
110,1440,2,2043.96
67,1584,2,254.04
187,445,2,3275.20
443,436,2,4717.00
1679,1634,2,62.97
51,428,2,6644.55
1947,2088,2,5946.00
