region,product_name,total_sales,profit_margin
Nebraska,A. Datum Bridge Digital Camera M300 Orange,373.80,201.90
Nevada,A. Datum Bridge Digital Camera M300 Pink,560.70,302.85
Belfast,A. Datum Compact Digital Camera M200 Azure,129.00,69.68
Australian Capital Territory,A. Datum Compact Digital Camera M200 Green,258.00,139.36
Blaenau Gwent,A. Datum Compact Digital Camera M200 Grey,258.00,139.36
Armagh,A. Datum Compact Digital Camera M200 Pink,516.00,278.72
Maine,A. Datum Compact Digital Camera M200 Pink,129.00,69.68
Blaenau Gwent,A. Datum Compact Digital Camera M200 Silver,258.00,139.36
Brandenburg,A. Datum Compact Digital Camera M200 Silver,903.00,487.76
New Hampshire,A. Datum Consumer Digital Camera E100 Azure,3091.00,1515.14
Online,A. Datum Consumer Digital Camera E100 Black,9835.00,4820.90
Kansas,A. Datum Consumer Digital Camera E100 Grey,843.00,413.22
Nevada,A. Datum Consumer Digital Camera E100 Grey,2810.00,1377.40
Nevada,A. Datum Consumer Digital Camera E100 Pink,1967.00,964.18
West Virginia,A. Datum Consumer Digital Camera E100 Pink,1967.00,964.18
Alaska,A. Datum Consumer Digital Camera M300 Azure,1291.50,697.62
Wyoming,A. Datum Consumer Digital Camera M300 Azure,1107.00,597.96
Iowa,A. Datum Consumer Digital Camera M300 Black,184.50,99.66
Martinique,A. Datum Consumer Digital Camera M300 Black,369.00,199.32
North Down,A. Datum Consumer Digital Camera M300 Green,369.00,199.32
Ayrshire,A. Datum Consumer Digital Camera M300 Orange,553.50,298.98
Online,A. Datum Consumer Digital Camera M300 Silver,553.50,298.98
Kansas,A. Datum Full Frame Digital Camera X300 Black,924.00,617.88
Mayotte,A. Datum Full Frame Digital Camera X300 Black,231.00,154.47
Sachsen-Anhalt,A. Datum Full Frame Digital Camera X300 Black,231.00,154.47
Idaho,A. Datum Full Frame Digital Camera X300 Pink,1617.00,1081.29
Utah,A. Datum Full Frame Digital Camera X300 Pink,2310.00,1544.70
Online,A. Datum Full Frame Digital Camera X300 Silver Grey,924.00,617.88
Armagh,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure,536.00,358.42
Limousin,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure,1876.00,1254.47
Maine,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure,4020.00,2688.15
Sachsen-Anhalt,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,3484.00,2329.73
Utah,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,268.00,179.21
Oregon,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,536.00,358.42
South Carolina,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,2144.00,1433.68
Online,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,5896.00,3942.62
Montana,A. Datum Point n' Shoot Digital Camera M500 Azure,594.00,320.85
Iowa,A. Datum Point n' Shoot Digital Camera M500 Grey,594.00,320.85
North Down,A. Datum Point n' Shoot Digital Camera M500 Grey,198.00,106.95
Iowa,A. Datum Advanced Digital Camera M300 Azure,188.50,101.82
Online,A. Datum Advanced Digital Camera M300 Azure,754.00,407.28
Utah,A. Datum Advanced Digital Camera M300 Azure,188.50,101.82
Victoria,A. Datum Advanced Digital Camera M300 Azure,1696.50,916.38
Hawaii,A. Datum Advanced Digital Camera M300 Black,188.50,101.82
Berlin,A. Datum Advanced Digital Camera M300 Green,188.50,101.82
Blaenau Gwent,A. Datum Advanced Digital Camera M300 Grey,1696.50,916.38
Nunavut,A. Datum Advanced Digital Camera M300 Silver,377.00,203.64
Fermanagh,A. Datum All in One Digital Camera M200 Azure,188.00,101.55
Nunavut,A. Datum All in One Digital Camera M200 Green,1128.00,609.30
Hawaii,A. Datum All in One Digital Camera M200 Orange,564.00,304.65
Nebraska,A. Datum All in One Digital Camera M200 Silver,1316.00,710.85
Connecticut,A. Datum Bridge Digital Camera M300 Azure,373.80,201.90
New Mexico,A. Datum Bridge Digital Camera M300 Azure,560.70,302.85
Fermanagh,A. Datum Bridge Digital Camera M300 Green,373.80,201.90
Nunavut,A. Datum Bridge Digital Camera M300 Grey,186.90,100.95
Ayrshire,A. Datum Bridge Digital Camera M300 Orange,934.50,504.75
West Virginia,A. Datum Bridge Digital Camera M300 Orange,1121.40,605.70
Freie Hansestadt Bremen,A. Datum Compact Digital Camera M200 Black,129.00,69.68
Oregon,A. Datum Compact Digital Camera M200 Black,1161.00,627.12
Utah,A. Datum Compact Digital Camera M200 Grey,387.00,209.04
Dungannon and South Tyrone,A. Datum Compact Digital Camera M200 Orange,129.00,69.68
Washington DC,A. Datum Compact Digital Camera M200 Orange,129.00,69.68
Dungannon and South Tyrone,A. Datum Compact Digital Camera M200 Pink,774.00,418.08
South Dakota,A. Datum Compact Digital Camera M200 Silver,129.00,69.68
Flevoland,A. Datum Consumer Digital Camera E100 Azure,843.00,413.22
New Hampshire,A. Datum Consumer Digital Camera E100 Black,1686.00,826.44
Idaho,A. Datum Consumer Digital Camera E100 Green,843.00,413.22
Montana,A. Datum Consumer Digital Camera E100 Green,2810.00,1377.40
Oregon,A. Datum Consumer Digital Camera E100 Grey,843.00,413.22
Ayrshire,A. Datum Consumer Digital Camera E100 Orange,281.00,137.74
Wyoming,A. Datum Consumer Digital Camera E100 Pink,843.00,413.22
Enna,A. Datum Consumer Digital Camera E100 Silver,1124.00,550.96
Newfoundland and Labrador,A. Datum Consumer Digital Camera E100 Silver,281.00,137.74
Online,A. Datum Consumer Digital Camera E100 Silver,562.00,275.48
Drenthe,A. Datum Consumer Digital Camera M300 Azure,184.50,99.66
Caltanissetta,A. Datum Consumer Digital Camera M300 Orange,553.50,298.98
New Mexico,A. Datum Consumer Digital Camera M300 Orange,1291.50,697.62
Connecticut,A. Datum Consumer Digital Camera M300 Silver,184.50,99.66
Enna,A. Datum Consumer Digital Camera M300 Silver,922.50,498.30
Hessen,A. Datum Consumer Digital Camera M300 Silver,922.50,498.30
New Hampshire,A. Datum Full Frame Digital Camera X300 Azure,924.00,617.88
Limousin,A. Datum Full Frame Digital Camera X300 Orange,924.00,617.88
Nebraska,A. Datum Full Frame Digital Camera X300 Pink,693.00,463.41
Online,A. Datum Full Frame Digital Camera X300 Silver,1848.00,1235.76
Newfoundland and Labrador,A. Datum Full Frame Digital Camera X300 Silver Grey,231.00,154.47
Pesaro,A. Datum Full Frame Digital Camera X300 Silver Grey,693.00,463.41
Connecticut,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,268.00,179.21
Hessen,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,536.00,358.42
West Virginia,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,268.00,179.21
Online,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,4824.00,3225.78
Western Australia,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,536.00,358.42
Connecticut,A. Datum All in One Digital Camera M200 Azure,564.00,304.65
Sachsen-Anhalt,A. Datum All in One Digital Camera M200 Azure,1316.00,710.85
Online,A. Datum All in One Digital Camera M200 Black,376.00,203.10
Montana,A. Datum All in One Digital Camera M200 Green,940.00,507.75
Wyoming,A. Datum All in One Digital Camera M200 Green,564.00,304.65
Montana,A. Datum All in One Digital Camera M200 Grey,188.00,101.55
Connecticut,A. Datum All in One Digital Camera M200 Orange,752.00,406.20
Hawaii,A. Datum Bridge Digital Camera M300 Black,560.70,302.85
Pesaro,A. Datum Bridge Digital Camera M300 Black,1495.20,807.60
Online,A. Datum Bridge Digital Camera M300 Grey,1121.40,605.70
Idaho,A. Datum Bridge Digital Camera M300 Orange,560.70,302.85
Limousin,A. Datum Bridge Digital Camera M300 Orange,373.80,201.90
Armagh,A. Datum Bridge Digital Camera M300 Pink,560.70,302.85
Connecticut,A. Datum Bridge Digital Camera M300 Silver,373.80,201.90
Utah,A. Datum Compact Digital Camera M200 Azure,129.00,69.68
Oregon,A. Datum Compact Digital Camera M200 Pink,903.00,487.76
Nebraska,A. Datum Compact Digital Camera M200 Silver,387.00,209.04
North Down,A. Datum Compact Digital Camera M200 Silver,129.00,69.68
Nunavut,A. Datum Compact Digital Camera M200 Silver,774.00,418.08
Northwest Territories,A. Datum Consumer Digital Camera E100 Azure,562.00,275.48
Fermanagh,A. Datum Consumer Digital Camera E100 Black,843.00,413.22
Berlin,A. Datum Consumer Digital Camera E100 Silver,562.00,275.48
Freistaat Thüringen,A. Datum Consumer Digital Camera E100 Silver,562.00,275.48
Wyoming,A. Datum Consumer Digital Camera E100 Silver,1686.00,826.44
Groningen,A. Datum Consumer Digital Camera M300 Azure,369.00,199.32
Online,A. Datum Consumer Digital Camera M300 Grey,553.50,298.98
South Dakota,A. Datum Consumer Digital Camera M300 Orange,1107.00,597.96
Washington DC,A. Datum Consumer Digital Camera M300 Pink,369.00,199.32
Berlin,A. Datum Consumer Digital Camera M300 Silver,1845.00,996.60
Freistaat Thüringen,A. Datum Consumer Digital Camera M300 Silver,184.50,99.66
Iowa,A. Datum Consumer Digital Camera M300 Silver,369.00,199.32
Oregon,A. Datum Full Frame Digital Camera X300 Black,462.00,308.94
Ayrshire,A. Datum Full Frame Digital Camera X300 Green,231.00,154.47
Nebraska,A. Datum Full Frame Digital Camera X300 Green,462.00,308.94
Online,A. Datum Full Frame Digital Camera X300 Green,462.00,308.94
Fermanagh,A. Datum Full Frame Digital Camera X300 Grey,231.00,154.47
Enna,A. Datum Full Frame Digital Camera X300 Orange,231.00,154.47
Pesaro,A. Datum Full Frame Digital Camera X300 Orange,462.00,308.94
North Down,A. Datum Full Frame Digital Camera X300 Silver,2310.00,1544.70
Northwest Territories,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,2680.00,1792.10
Maine,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,804.00,537.63
North Down,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,1608.00,1075.26
Northwest Territories,A. Datum Point n' Shoot Digital Camera M500 Grey,198.00,106.95
Groningen,A. Datum Point Shoot Digital Camera M500 Black,594.00,320.85
Ayrshire,A. Datum Point Shoot Digital Camera M500 Green,396.00,213.90
Belfast,A. Datum Point Shoot Digital Camera M500 Green,594.00,320.85
Kansas,A. Datum Point Shoot Digital Camera M500 Green,198.00,106.95
La Réunion,A. Datum Point Shoot Digital Camera M500 Green,198.00,106.95
Online,A. Datum Point Shoot Digital Camera M500 Green,594.00,320.85
West Virginia,A. Datum Point Shoot Digital Camera M500 Green,990.00,534.75
Western Australia,A. Datum Point Shoot Digital Camera M500 Green,198.00,106.95
Armagh,A. Datum Point Shoot Digital Camera M500 Pink,198.00,106.95
Tasmania,A. Datum Point Shoot Digital Camera M500 Pink,1584.00,855.60
Oregon,A. Datum Advanced Digital Camera M300 Black,942.50,509.10
Nunavut,A. Datum Advanced Digital Camera M300 Green,188.50,101.82
Online,A. Datum Advanced Digital Camera M300 Grey,1885.00,1018.20
South Dakota,A. Datum Advanced Digital Camera M300 Grey,1508.00,814.56
South Dakota,A. Datum Advanced Digital Camera M300 Orange,1319.50,712.74
Online,A. Datum Advanced Digital Camera M300 Silver,1696.50,916.38
New Hampshire,A. Datum All in One Digital Camera M200 Black,1504.00,812.40
Dungannon and South Tyrone,A. Datum All in One Digital Camera M200 Green,188.00,101.55
Montana,A. Datum All in One Digital Camera M200 Silver,2256.00,1218.60
Maine,A. Datum Bridge Digital Camera M300 Azure,1121.40,605.70
Alaska,A. Datum Bridge Digital Camera M300 Green,373.80,201.90
Groningen,A. Datum Bridge Digital Camera M300 Green,1121.40,605.70
Maine,A. Datum Bridge Digital Camera M300 Green,1121.40,605.70
Nunavut,A. Datum Bridge Digital Camera M300 Silver,1121.40,605.70
La Réunion,A. Datum Compact Digital Camera M200 Black,129.00,69.68
Northwest Territories,A. Datum Compact Digital Camera M200 Grey,387.00,209.04
Tasmania,A. Datum Compact Digital Camera M200 Silver,903.00,487.76
Hawaii,A. Datum Consumer Digital Camera E100 Green,562.00,275.48
Hawaii,A. Datum Consumer Digital Camera E100 Grey,1124.00,550.96
Franche-Comté,A. Datum Consumer Digital Camera E100 Pink,562.00,275.48
Hamburg,A. Datum Consumer Digital Camera E100 Silver,562.00,275.48
Hessen,A. Datum Consumer Digital Camera M300 Azure,184.50,99.66
Oregon,A. Datum Consumer Digital Camera M300 Azure,184.50,99.66
Enna,A. Datum Consumer Digital Camera M300 Black,184.50,99.66
West Virginia,A. Datum Consumer Digital Camera M300 Black,184.50,99.66
Arkansas,A. Datum Consumer Digital Camera M300 Grey,184.50,99.66
Newfoundland and Labrador,A. Datum Consumer Digital Camera M300 Silver,1291.50,697.62
Arkansas,A. Datum Full Frame Digital Camera X300 Azure,693.00,463.41
Corse,A. Datum Full Frame Digital Camera X300 Black,924.00,617.88
Australian Capital Territory,A. Datum Full Frame Digital Camera X300 Green,693.00,463.41
Friesland,A. Datum Full Frame Digital Camera X300 Grey,693.00,463.41
New Hampshire,A. Datum Full Frame Digital Camera X300 Grey,462.00,308.94
Nunavut,A. Datum Full Frame Digital Camera X300 Grey,693.00,463.41
Brandenburg,A. Datum Full Frame Digital Camera X300 Orange,462.00,308.94
Nunavut,A. Datum Full Frame Digital Camera X300 Silver,231.00,154.47
Wyoming,A. Datum Full Frame Digital Camera X300 Silver,462.00,308.94
Montana,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,536.00,358.42
New Hampshire,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,804.00,537.63
Sachsen-Anhalt,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,268.00,179.21
Wyoming,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,268.00,179.21
Armagh,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,1072.00,716.84
Kansas,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,536.00,358.42
Belfast,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,268.00,179.21
Connecticut,A. Datum Point n' Shoot Digital Camera M500 Grey,198.00,106.95
Victoria,A. Datum Point n' Shoot Digital Camera M500 Grey,990.00,534.75
Online,A. Datum Point Shoot Digital Camera M500 Black,1188.00,641.70
Australian Capital Territory,A. Datum Point Shoot Digital Camera M500 Green,594.00,320.85
Newfoundland and Labrador,A. Datum Point Shoot Digital Camera M500 Orange,1584.00,855.60
South Dakota,A. Datum Point Shoot Digital Camera M500 Orange,198.00,106.95
Franche-Comté,A. Datum Point Shoot Digital Camera M500 Silver Grey,198.00,106.95
Idaho,A. Datum Point Shoot Digital Camera M500 Silver Grey,2574.00,1390.35
Armagh,A. Datum Advanced Digital Camera M300 Grey,754.00,407.28
Northwest Territories,A. Datum Advanced Digital Camera M300 Orange,1131.00,610.92
Blaenau Gwent,A. Datum All in One Digital Camera M200 Azure,188.00,101.55
Enna,A. Datum All in One Digital Camera M200 Azure,752.00,406.20
Western Australia,A. Datum All in One Digital Camera M200 Azure,752.00,406.20
Caltanissetta,A. Datum All in One Digital Camera M200 Grey,188.00,101.55
Oregon,A. Datum All in One Digital Camera M200 Pink,752.00,406.20
Nevada,A. Datum All in One Digital Camera M200 Silver,564.00,304.65
Online,A. Datum Bridge Digital Camera M300 Green,3364.20,1817.10
Utah,A. Datum Bridge Digital Camera M300 Green,186.90,100.95
Washington DC,A. Datum Bridge Digital Camera M300 Green,560.70,302.85
Basse-Normandie,A. Datum Bridge Digital Camera M300 Grey,1308.30,706.65
Nebraska,A. Datum Bridge Digital Camera M300 Grey,560.70,302.85
Pesaro,A. Datum Bridge Digital Camera M300 Grey,373.80,201.90
Sachsen-Anhalt,A. Datum Bridge Digital Camera M300 Grey,373.80,201.90
Wyoming,A. Datum Bridge Digital Camera M300 Orange,1121.40,605.70
Arkansas,A. Datum Bridge Digital Camera M300 Pink,747.60,403.80
Limousin,A. Datum Bridge Digital Camera M300 Pink,186.90,100.95
Idaho,A. Datum Bridge Digital Camera M300 Silver,747.60,403.80
Online,A. Datum Compact Digital Camera M200 Green,1548.00,836.16
Newfoundland and Labrador,A. Datum Compact Digital Camera M200 Orange,903.00,487.76
Nebraska,A. Datum Consumer Digital Camera E100 Green,562.00,275.48
Alaska,A. Datum Consumer Digital Camera E100 Grey,1967.00,964.18
Belfast,A. Datum Consumer Digital Camera E100 Grey,1124.00,550.96
Groningen,A. Datum Consumer Digital Camera E100 Grey,1405.00,688.70
Utah,A. Datum Consumer Digital Camera E100 Grey,562.00,275.48
Western Australia,A. Datum Consumer Digital Camera E100 Grey,1405.00,688.70
Oregon,A. Datum Consumer Digital Camera E100 Orange,1124.00,550.96
South Carolina,A. Datum Consumer Digital Camera E100 Orange,2810.00,1377.40
Berlin,A. Datum Consumer Digital Camera E100 Pink,281.00,137.74
Hessen,A. Datum Consumer Digital Camera E100 Pink,562.00,275.48
South Dakota,A. Datum Consumer Digital Camera E100 Silver,281.00,137.74
Fermanagh,A. Datum Consumer Digital Camera M300 Azure,738.00,398.64
Sachsen-Anhalt,A. Datum Consumer Digital Camera M300 Azure,553.50,298.98
Ayrshire,A. Datum Consumer Digital Camera M300 Black,369.00,199.32
Dungannon and South Tyrone,A. Datum Consumer Digital Camera M300 Green,553.50,298.98
Limousin,A. Datum Full Frame Digital Camera X300 Azure,693.00,463.41
Washington DC,A. Datum Full Frame Digital Camera X300 Black,1155.00,772.35
Newfoundland and Labrador,A. Datum Full Frame Digital Camera X300 Green,1617.00,1081.29
Groningen,A. Datum Full Frame Digital Camera X300 Orange,3003.00,2008.11
Online,A. Datum Full Frame Digital Camera X300 Orange,1848.00,1235.76
Brandenburg,A. Datum Full Frame Digital Camera X300 Pink,231.00,154.47
Sachsen-Anhalt,A. Datum Full Frame Digital Camera X300 Pink,462.00,308.94
Tasmania,A. Datum Full Frame Digital Camera X300 Silver,462.00,308.94
Washington DC,A. Datum Full Frame Digital Camera X300 Silver,693.00,463.41
Dungannon and South Tyrone,A. Datum Full Frame Digital Camera X300 Silver Grey,231.00,154.47
Idaho,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,536.00,358.42
Washington DC,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,268.00,179.21
Washington DC,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,1340.00,896.05
Connecticut,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,1072.00,716.84
Maine,A. Datum Point n' Shoot Digital Camera M500 Azure,396.00,213.90
Online,A. Datum Point n' Shoot Digital Camera M500 Azure,3366.00,1818.15
Northwest Territories,A. Datum Advanced Digital Camera M300 Azure,188.50,101.82
Pesaro,A. Datum Advanced Digital Camera M300 Green,188.50,101.82
Idaho,A. Datum Advanced Digital Camera M300 Grey,188.50,101.82
Mayotte,A. Datum Advanced Digital Camera M300 Grey,188.50,101.82
Groningen,A. Datum Advanced Digital Camera M300 Orange,1319.50,712.74
Armagh,A. Datum All in One Digital Camera M200 Azure,188.00,101.55
South Carolina,A. Datum All in One Digital Camera M200 Azure,1692.00,913.95
Ayrshire,A. Datum All in One Digital Camera M200 Black,376.00,203.10
Hawaii,A. Datum All in One Digital Camera M200 Black,1128.00,609.30
Idaho,A. Datum All in One Digital Camera M200 Green,188.00,101.55
Belfast,A. Datum All in One Digital Camera M200 Orange,376.00,203.10
Hessen,A. Datum All in One Digital Camera M200 Orange,564.00,304.65
Connecticut,A. Datum All in One Digital Camera M200 Pink,1128.00,609.30
Blaenau Gwent,A. Datum Bridge Digital Camera M300 Black,186.90,100.95
Tasmania,A. Datum Bridge Digital Camera M300 Green,1308.30,706.65
Alaska,A. Datum Bridge Digital Camera M300 Grey,186.90,100.95
Freistaat Thüringen,A. Datum Bridge Digital Camera M300 Grey,747.60,403.80
Montana,A. Datum Bridge Digital Camera M300 Orange,1308.30,706.65
Nevada,A. Datum Bridge Digital Camera M300 Orange,747.60,403.80
Kansas,A. Datum Compact Digital Camera M200 Azure,645.00,348.40
Sachsen-Anhalt,A. Datum Compact Digital Camera M200 Azure,129.00,69.68
Nevada,A. Datum Compact Digital Camera M200 Grey,258.00,139.36
Oregon,A. Datum Compact Digital Camera M200 Orange,387.00,209.04
Montana,A. Datum Consumer Digital Camera E100 Black,1405.00,688.70
Dungannon and South Tyrone,A. Datum Consumer Digital Camera E100 Green,281.00,137.74
Online,A. Datum Consumer Digital Camera E100 Green,4215.00,2066.10
Washington DC,A. Datum Consumer Digital Camera E100 Green,562.00,275.48
Connecticut,A. Datum Consumer Digital Camera E100 Grey,281.00,137.74
Tasmania,A. Datum Consumer Digital Camera E100 Grey,2529.00,1239.66
Nevada,A. Datum Consumer Digital Camera E100 Orange,281.00,137.74
Enna,A. Datum Consumer Digital Camera E100 Pink,1967.00,964.18
Online,A. Datum Consumer Digital Camera E100 Pink,843.00,413.22
Washington DC,A. Datum Consumer Digital Camera E100 Pink,281.00,137.74
Groningen,A. Datum Consumer Digital Camera M300 Black,553.50,298.98
Nunavut,A. Datum Consumer Digital Camera M300 Black,184.50,99.66
Berlin,A. Datum Consumer Digital Camera M300 Green,922.50,498.30
Freistaat Thüringen,A. Datum Consumer Digital Camera M300 Green,184.50,99.66
Montana,A. Datum Consumer Digital Camera M300 Green,184.50,99.66
Maine,A. Datum Consumer Digital Camera M300 Grey,184.50,99.66
Nebraska,A. Datum Consumer Digital Camera M300 Pink,184.50,99.66
Maine,A. Datum Consumer Digital Camera M300 Silver,1107.00,597.96
Hamburg,A. Datum Full Frame Digital Camera X300 Azure,1617.00,1081.29
New Mexico,A. Datum Full Frame Digital Camera X300 Azure,1848.00,1235.76
Nunavut,A. Datum Full Frame Digital Camera X300 Azure,462.00,308.94
Freie Hansestadt Bremen,A. Datum Full Frame Digital Camera X300 Black,231.00,154.47
Blaenau Gwent,A. Datum Full Frame Digital Camera X300 Green,924.00,617.88
Montana,A. Datum Full Frame Digital Camera X300 Grey,1386.00,926.82
Connecticut,A. Datum Full Frame Digital Camera X300 Orange,462.00,308.94
Armagh,A. Datum Full Frame Digital Camera X300 Silver,462.00,308.94
Oregon,A. Datum Full Frame Digital Camera X300 Silver Grey,693.00,463.41
Hawaii,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,2144.00,1433.68
Wyoming,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,536.00,358.42
Northwest Territories,A. Datum Point Shoot Digital Camera M500 Orange,396.00,213.90
Northwest Territories,A. Datum Advanced Digital Camera M300 Black,754.00,407.28
Arkansas,A. Datum Advanced Digital Camera M300 Green,565.50,305.46
Wyoming,A. Datum Advanced Digital Camera M300 Grey,565.50,305.46
Martinique,A. Datum Advanced Digital Camera M300 Orange,188.50,101.82
Northwest Territories,A. Datum Advanced Digital Camera M300 Pink,188.50,101.82
Washington DC,A. Datum All in One Digital Camera M200 Azure,1692.00,913.95
Freie Hansestadt Bremen,A. Datum All in One Digital Camera M200 Silver,376.00,203.10
Oregon,A. Datum All in One Digital Camera M200 Silver,564.00,304.65
